assetId,assetTypeId
000000003V9KT8GMYWGG98H9H5,01FXK6THFM2FDX32PB85GKPRNV
000000003VTFWDXMAZF4W4XAP5,01FXK6THFM2FDX32PB85GKPRNV
000000003VW2X6B0ZG7X7WX9XE,01FXK6THFM2FDX32PB85GKPRNV
000000003VWVPJ784CG0C6QZD0,01FXK6THFM2FDX32PB85GKPRNV
01FR38AQV772BK05E9JZSD19EQ,01FX34K9DDZXE2TC4XX09HY08Z
01FR38AQV7867RZHCRT9NH9NBA,01FX34K9DDZXE2TC4XX09HY08Z
01FR38AQV78P602Y1V3RBZBSZY,01FX34K9DDZXE2TC4XX09HY08Z
01FR38AQV7GWQQEWESFVDXAE55,01FX34K9DDZXE2TC4XX09HY08Z
01FR38AQV7HR33SW7H0DE6KQTR,01FX34K9DDZXE2TC4XX09HY08Z
01FR38AQV7REF5SV440N09PX18,01FX34K9DDZXE2TC4XX09HY08Z
01FR38E0ABZ1M1G6VGK49TPBCE,01FX34K9DDZXE2TC4XX09HY08Z
01FR38E0AC4MEP12PHMKTPBA8Z,01FX34K9DDZXE2TC4XX09HY08Z
01FR38E0AC71WQZ23GCHA37XCD,01FX34K9DDZXE2TC4XX09HY08Z
01FR38E0AC8C1JJ9S1V3WP1BGB,01FX34K9DDZXE2TC4XX09HY08Z
01FR38E0ACAWDCJCJ4RWKMZ8BH,01FX34K9DDZXE2TC4XX09HY08Z
01FR38E0ACBRJ2BYDW86HM7V9J,01FX34K9DDZXE2TC4XX09HY08Z
01FR38E0ACRRQJNZFN8SPYXH7N,01FX34K9DDZXE2TC4XX09HY08Z
01FR38E0ACSG9FF4215CJ5MBMR,01FX34K9DDZXE2TC4XX09HY08Z
01FR38E0ACY5Y1W0ED1FQH95PF,01FX34K9DDZXE2TC4XX09HY08Z
01FR38E0ACYAXGBWGM04JB6VDY,01FX34K9DDZXE2TC4XX09HY08Z
01FR38E0ACZ3WRDCQBS66SCWBQ,01FX34K9DDZXE2TC4XX09HY08Z
01FR38FV690Q43M7KAK8ZBHJXH,01FX34K9DDZXE2TC4XX09HY08Z
