id,createdAt,updatedAt,assetId,color,coverage
01G2YQ3KGBMER2NWKPCEQCCVZR,2022-05-13 12:43:14.056957,2022-05-13 12:43:14.056957,01G118J12Y9VPX5X6V78HBSMWC,White,0.115625
01G2YQ3KGC5Q1ECKR68A3S2AN6,2022-05-13 12:43:14.06277,2022-05-13 12:43:14.06277,01G118J12Y9VPX5X6V78HBSMWC,Light Gray,0.439219
01G2YQ3KGCDQ390MPQ58NHF7KD,2022-05-13 12:43:14.066599,2022-05-13 12:43:14.066599,01G118J12Y9VPX5X6V78HBSMWC,Black,0.187813
01G2YQ3KGTG8DNQVHDTDSACVBA,2022-05-13 12:43:14.108579,2022-05-13 12:43:14.108579,01G118J12XCKZ3QRHQTG751VA4,Black,0.566719
01G2YQ3KGTQ18VSAD6KT64QGP3,2022-05-13 12:43:14.102485,2022-05-13 12:43:14.102485,01G118J12XCKZ3QRHQTG751VA4,Gray,0.16375
01G2YQ3KGTRA31NB9FY4R9AMRE,2022-05-13 12:43:14.098919,2022-05-13 12:43:14.098919,01G118J12XCKZ3QRHQTG751VA4,Green,0.105625
01G2YQ3KHPAA6WFGP6HW562QM5,2022-05-13 12:43:14.10238,2022-05-13 12:43:14.10238,01G118J12VBEAXTGH1VJMPCGT7,Light Gray,0.326562
01G2YQ3KHPENS71KN02P5RF8HW,2022-05-13 12:43:14.098907,2022-05-13 12:43:14.098907,01G118J12VBEAXTGH1VJMPCGT7,Gray,0.212031
01G2YQ3KHQ2R4T0WXSC8JS8T6M,2022-05-13 12:43:14.080872,2022-05-13 12:43:14.080872,01G118J12YH4W4WE2XV37DXTE0,Bordeaux/ Fire Brick,0.5125
01G2YQ3KHQ5B0P0221D2HH5PQX,2022-05-13 12:43:14.077711,2022-05-13 12:43:14.077711,01G118J12YH4W4WE2XV37DXTE0,White,0.1325
01G2YQ3KHQNDK05YN2FKCC8E1Q,2022-05-13 12:43:14.085111,2022-05-13 12:43:14.085111,01G118J12YH4W4WE2XV37DXTE0,Black,0.28375
01G2YQ3KS28M5GK8KXJ55JBBA6,2022-05-13 12:43:14.364102,2022-05-13 12:43:14.364102,01G118J12ZJJQ5CAP4RV0EQGWP,White,0.358906
01G2YQ3KS28TF1XF96C5ZVXJWZ,2022-05-13 12:43:14.374302,2022-05-13 12:43:14.374302,01G118J12ZJJQ5CAP4RV0EQGWP,Black,0.123125
01G2YQ3KS2E40K76PRD5YYRZQG,2022-05-13 12:43:14.367738,2022-05-13 12:43:14.367738,01G118J12ZJJQ5CAP4RV0EQGWP,Bordeaux/ Fire Brick,0.347656
01G2YQ8K8DVT78VNXWKFDGY46G,2022-05-13 12:45:57.646308,2022-05-13 12:45:57.646308,01G118J12ZZVKTTQCCNZK40GPK,Green,0.610156
01G2YQ8K8DXH03HJFE6ZAZ04GE,2022-05-13 12:45:57.652982,2022-05-13 12:45:57.652982,01G118J12ZZVKTTQCCNZK40GPK,Black,0.186875
01G2YQ8M0R502AS4F5AQ2RGHM2,2022-05-13 12:45:58.435088,2022-05-13 12:45:58.435088,01G118J13044BD08NNW7HAN2KP,White,0.417656
01G2YQ8M0RKQ5K95SSM08QK4XH,2022-05-13 12:45:58.442843,2022-05-13 12:45:58.442843,01G118J13044BD08NNW7HAN2KP,Bordeaux/ Fire Brick,0.448594
01G2YQ8MFP172AT5SMFZV1S95W,2022-05-13 12:45:58.93032,2022-05-13 12:45:58.93032,01G118J131BK3VPAE49WZPH2V7,Bordeaux/ Fire Brick,0.450938
01G2YQ8MFPR7CSJTFGX9G6Q3W8,2022-05-13 12:45:58.923996,2022-05-13 12:45:58.923996,01G118J131BK3VPAE49WZPH2V7,White,0.419375
01G2YQ8MYNNFPGH70AG6GM50M7,2022-05-13 12:45:59.360474,2022-05-13 12:45:59.360474,01G118J132G50ANVJSSS6VCJ82,Bordeaux/ Fire Brick,0.215937
01G2YQ8MYNPNX99V34KD5265VS,2022-05-13 12:45:59.355464,2022-05-13 12:45:59.355464,01G118J132G50ANVJSSS6VCJ82,Light Gray,0.432656
01G2YQ8MYNYC63XBQJGAEK6VCY,2022-05-13 12:45:59.365801,2022-05-13 12:45:59.365801,01G118J132G50ANVJSSS6VCJ82,Red,0.1775
01G2YQ8NAH5T42T2YRBV82J3E5,2022-05-13 12:45:59.74194,2022-05-13 12:45:59.74194,01G118J132ZB2KZVPW4BTX64KC,Light Gray,0.508125
01G2YQ8NAHN6ZFCPH3FXXNWTM9,2022-05-13 12:45:59.748186,2022-05-13 12:45:59.748186,01G118J132ZB2KZVPW4BTX64KC,Bordeaux/ Fire Brick,0.226719
01G2YQ8P2Y1A86C82N39Q1G8M4,2022-05-13 12:46:00.575135,2022-05-13 12:46:00.575135,01G118J13374WMN98H2NMD1YD4,Sienna,0.237969
01G2YQ8P2Y5NMACZCWR9SQ3JN4,2022-05-13 12:46:00.578402,2022-05-13 12:46:00.578402,01G118J13374WMN98H2NMD1YD4,Black,0.134062
01G2YQ8P2YT4NWHXEMAFJQVE3B,2022-05-13 12:46:00.576676,2022-05-13 12:46:00.576676,01G118J13374WMN98H2NMD1YD4,Golden Rod,0.279844
01G2YQ8P2YZYE2RD84F0BD0YY8,2022-05-13 12:46:00.573356,2022-05-13 12:46:00.573356,01G118J13374WMN98H2NMD1YD4,Green,0.167031
01G2YQ8PZ10829NTXY6GA18KS8,2022-05-13 12:46:01.421973,2022-05-13 12:46:01.421973,01G118J134K9BYAPSGMK2060NZ,White,0.349063
01G2YQ8PZ1WRM0MR2WNDE2YFA2,2022-05-13 12:46:01.426758,2022-05-13 12:46:01.426758,01G118J134K9BYAPSGMK2060NZ,MistyRose,0.409375
01G2YQ8Q866005WS41KC2D5FY8,2022-05-13 12:46:01.726344,2022-05-13 12:46:01.726344,01G118J135R992E14ESQTSF3W9,Slate Blue,0.120625
01G2YQ8Q86TKYQC4X4YNN601KJ,2022-05-13 12:46:01.735696,2022-05-13 12:46:01.735696,01G118J135R992E14ESQTSF3W9,Steel Blue,0.458906
01G2YQ8Q86Z0JBH5Q4TTNYBJKZ,2022-05-13 12:46:01.731113,2022-05-13 12:46:01.731113,01G118J135R992E14ESQTSF3W9,Navy,0.145313
01G2YQ8QY2CB9AD2R0V3WR08YQ,2022-05-13 12:46:02.413968,2022-05-13 12:46:02.413968,01G118J13609V8W5X1TFCM57Q7,Bordeaux/ Fire Brick,0.613125
